,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtHeight,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SalePrice
0,65.0,8450,Reg,Inside,CollgCr,Norm,2Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,No,GLQ,706,150,856,Ex,856,854,1710,1,0,2,1,3,1,Gd,8,0,NF,Attchd,2003.0,RFn,2,548,TA,Y,0,61,NF,2,2008,208500
1,80.0,9600,Reg,FR2,Veenker,Feedr,1Story,6,8,1976,1976,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,Gd,ALQ,978,284,1262,Ex,1262,0,1262,0,1,2,0,3,1,TA,6,1,TA,Attchd,1976.0,RFn,2,460,TA,Y,298,0,NF,5,2007,181500
2,68.0,11250,IR1,Inside,CollgCr,Norm,2Story,7,5,2001,2002,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,Mn,GLQ,486,434,920,Ex,920,866,1786,1,0,2,1,3,1,Gd,6,1,TA,Attchd,2001.0,RFn,2,608,TA,Y,0,42,NF,9,2008,223500
3,60.0,9550,IR1,Corner,Crawfor,Norm,2Story,7,5,1915,1970,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,No,ALQ,216,540,756,Gd,961,756,1717,1,0,1,0,3,1,Gd,7,1,Gd,Detchd,1998.0,Unf,3,642,TA,Y,0,35,NF,2,2006,140000
4,84.0,14260,IR1,FR2,NoRidge,Norm,2Story,8,5,2000,2000,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,Av,GLQ,655,490,1145,Ex,1145,1053,2198,1,0,2,1,4,1,Gd,9,1,TA,Attchd,2000.0,RFn,3,836,TA,Y,192,84,NF,12,2008,250000
5,85.0,14115,IR1,Inside,Mitchel,Norm,1.5Fin,5,5,1993,1995,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,No,GLQ,732,64,796,Ex,796,566,1362,1,0,1,1,1,1,TA,5,0,NF,Attchd,1993.0,Unf,2,480,TA,Y,40,30,MnPrv,10,2009,143000
6,75.0,10084,Reg,Inside,Somerst,Norm,1Story,8,5,2004,2005,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,Av,GLQ,1369,317,1686,Ex,1694,0,1694,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2004.0,RFn,2,636,TA,Y,255,57,NF,8,2007,307000
7,0.0,10382,IR1,Corner,NWAmes,PosN,2Story,7,6,1973,1973,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,Mn,ALQ,859,216,1107,Ex,1107,983,2090,1,0,2,1,3,1,TA,7,2,TA,Attchd,1973.0,RFn,2,484,TA,Y,235,204,NF,11,2009,200000
8,51.0,6120,Reg,Inside,OldTown,Artery,1.5Fin,7,5,1931,1950,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,952,952,Gd,1022,752,1774,0,0,2,0,2,2,TA,8,2,TA,Detchd,1931.0,Unf,2,468,TA,Y,90,0,NF,4,2008,129900
9,50.0,7420,Reg,Corner,BrkSide,Artery,1.5Unf,5,6,1939,1950,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,GLQ,851,140,991,Ex,1077,0,1077,1,0,1,0,2,2,TA,5,2,TA,Attchd,1939.0,RFn,1,205,TA,Y,0,4,NF,1,2008,118000
